LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value
IND,MEATCONSUMP,BEEF,KG_CAP,A,1992,1.616
IND,MEATCONSUMP,BEEF,KG_CAP,A,1993,1.576
IND,MEATCONSUMP,BEEF,KG_CAP,A,1994,1.542
IND,MEATCONSUMP,BEEF,KG_CAP,A,1995,1.488
IND,MEATCONSUMP,BEEF,KG_CAP,A,1996,1.468
IND,MEATCONSUMP,BEEF,KG_CAP,A,1997,1.435
IND,MEATCONSUMP,BEEF,KG_CAP,A,1998,1.427
IND,MEATCONSUMP,BEEF,KG_CAP,A,1999,1.396
IND,MEATCONSUMP,BEEF,KG_CAP,A,2000,1.299
IND,MEATCONSUMP,BEEF,KG_CAP,A,2001,1.31
IND,MEATCONSUMP,BEEF,KG_CAP,A,2002,1.257
IND,MEATCONSUMP,BEEF,KG_CAP,A,2003,1.18
IND,MEATCONSUMP,BEEF,KG_CAP,A,2004,1.156
IND,MEATCONSUMP,BEEF,KG_CAP,A,2005,1.089
IND,MEATCONSUMP,BEEF,KG_CAP,A,2006,1.064
IND,MEATCONSUMP,BEEF,KG_CAP,A,2007,1.071
IND,MEATCONSUMP,BEEF,KG_CAP,A,2008,1.066
IND,MEATCONSUMP,BEEF,KG_CAP,A,2009,1.094
IND,MEATCONSUMP,BEEF,KG_CAP,A,2010,0.936
IND,MEATCONSUMP,BEEF,KG_CAP,A,2011,0.752
IND,MEATCONSUMP,BEEF,KG_CAP,A,2012,0.67
IND,MEATCONSUMP,BEEF,KG_CAP,A,2013,0.457
IND,MEATCONSUMP,BEEF,KG_CAP,A,2014,0.348
IND,MEATCONSUMP,BEEF,KG_CAP,A,2015,0.449
IND,MEATCONSUMP,BEEF,KG_CAP,A,2016,0.469
IND,MEATCONSUMP,BEEF,KG_CAP,A,2017,0.427
IND,MEATCONSUMP,BEEF,KG_CAP,A,2018,0.563
IND,MEATCONSUMP,BEEF,KG_CAP,A,2019,0.532
IND,MEATCONSUMP,BEEF,KG_CAP,A,2020,0.532
IND,MEATCONSUMP,BEEF,KG_CAP,A,2021,0.536
IND,MEATCONSUMP,BEEF,KG_CAP,A,2022,0.538
IND,MEATCONSUMP,BEEF,KG_CAP,A,2023,0.541
IND,MEATCONSUMP,BEEF,KG_CAP,A,2024,0.542
IND,MEATCONSUMP,BEEF,KG_CAP,A,2025,0.546
IND,MEATCONSUMP,BEEF,KG_CAP,A,2026,0.548
IND,MEATCONSUMP,BEEF,KG_CAP,A,2027,0.55
IND,MEATCONSUMP,BEEF,KG_CAP,A,2028,0.552
IND,MEATCONSUMP,BEEF,KG_CAP,A,2029,0.552
IND,MEATCONSUMP,PIG,KG_CAP,A,1990,0.37
IND,MEATCONSUMP,PIG,KG_CAP,A,1991,0.375
IND,MEATCONSUMP,PIG,KG_CAP,A,1992,0.383
IND,MEATCONSUMP,PIG,KG_CAP,A,1993,0.378
IND,MEATCONSUMP,PIG,KG_CAP,A,1994,0.373
IND,MEATCONSUMP,PIG,KG_CAP,A,1995,0.369
IND,MEATCONSUMP,PIG,KG_CAP,A,1996,0.445
IND,MEATCONSUMP,PIG,KG_CAP,A,1997,0.363
IND,MEATCONSUMP,PIG,KG_CAP,A,1998,0.356
IND,MEATCONSUMP,PIG,KG_CAP,A,1999,0.35
IND,MEATCONSUMP,PIG,KG_CAP,A,2000,0.345
IND,MEATCONSUMP,PIG,KG_CAP,A,2001,0.34
IND,MEATCONSUMP,PIG,KG_CAP,A,2002,0.335
IND,MEATCONSUMP,PIG,KG_CAP,A,2003,0.331
IND,MEATCONSUMP,PIG,KG_CAP,A,2004,0.307
IND,MEATCONSUMP,PIG,KG_CAP,A,2005,0.29
IND,MEATCONSUMP,PIG,KG_CAP,A,2006,0.272
IND,MEATCONSUMP,PIG,KG_CAP,A,2007,0.255
IND,MEATCONSUMP,PIG,KG_CAP,A,2008,0.247
IND,MEATCONSUMP,PIG,KG_CAP,A,2009,0.244
IND,MEATCONSUMP,PIG,KG_CAP,A,2010,0.235
