Species,1951,1956,1961,1966,1972,1977,1982,1987,1992,1997,2003,2007,2012,2019
Cattle,155.3,158.7,175.6,176.2,178.3,180.0,192.5,199.7,204.6,198.9,185.2,199.1,190.9,192.5
Adult Female Cattle,54.4,47.3,51.0,51.8,53.4,54.6,59.2,62.1,64.4,64.4,64.5,73.0,76.7,81.4
Buffalo,43.4,44.9,51.2,53.0,57.4,62.0,69.8,76.0,84.2,89.9,97.9,105.3,108.7,109.9
Adult Female Buffalo,21.0,21.7,24.3,25.4,28.6,31.3,32.5,39.1,43.8,46.8,51.0,54.5,56.6,55.0
Total Bovines,198.7,203.6,226.8,229.2,235.7,242.0,262.2,275.7,288.8,288.8,283.1,304.4,299.6,302.3
Sheep,39.1,39.3,40.2,42.4,40.0,41.0,48.8,45.7,50.8,57.5,61.5,71.6,65.1,74.3
Goat,47.2,55.4,60.9,64.6,67.5,75.6,95.3,110.2,115.3,122.7,124.4,140.5,135.2,148.9
Horses and Ponies,1.5,1.5,1.3,1.1,0.9,0.9,0.9,0.8,0.8,0.8,0.8,0.6,0.6,0.3
Camels,0.6,0.8,0.9,1.0,1.1,1.1,1.1,1.0,1.0,1.0,0.9,0.6,0.5,0.3
Pigs,4.4,4.9,5.2,6.0,6.9,7.6,10.1,10.6,12.8,13.3,13.5,11.1,10.3,9.1
Mules,0.1,0.0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.1
Donkeys,1.3,1.1,1.1,1.1,1.0,1.0,1.0,1.0,1.0,0.9,0.7,0.4,0.3,0.1
Yak,NC,NC,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mithun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.3,0.3,0.4
Total Livestock,292.9,306.6,336.5,344.5,353.2,369.4,419.6,445.2,470.9,485.4,485.0,529.7,512.1,535.8
Poultry,73.5,94.8,114.2,115.4,138.5,159.2,207.7,275.3,307.1,347.6,489.0,648.8,729.2,851.8
