Entity,Code,Year,goat,chicken,pig,lamb,duck
India,IND,1990,43000000,402000000,11800000,15100000,22900000
India,IND,1991,43400000,548000000,12200000,15400000,22600000
India,IND,1992,43800000,568000000,12700000,15700000,22400000
India,IND,1993,44300000,641000000,12800000,16100000,24200000
India,IND,1994,44900000,657000000,12900000,16500000,26000000
India,IND,1995,45500000,673000000,13000000,16900000,28100000
India,IND,1996,46000000,690000000,13100000,17300000,30300000
India,IND,1997,46600000,694000000,13190000,17820000,31000000
India,IND,1998,46700000,735000000,13240000,18000000,31000000
India,IND,1999,46800000,778000000,13278000,18200000,31000000
India,IND,2000,46900000,860000000,13310000,18400000,30800000
India,IND,2001,47000000,911000000,13348000,18600000,30700000
India,IND,2002,47140000,964000000,13388000,18800000,30600000
India,IND,2003,47250000,1052000000,13426000,19100000,30000000
India,IND,2004,48700000,1134000000,12700000,19800000,30000000
India,IND,2005,50200000,1222000000,12150000,20500000,29000000
India,IND,2006,51780000,1320000000,11569000,21290000,28500000
India,IND,2007,53380000,1474397000,11000000,22083000,28000000
India,IND,2008,53000000,1599129000,10900000,21800000,27000000
India,IND,2009,52500000,1740431000,10800000,21400000,26000000
India,IND,2010,52200000,1816848000,10600000,21000000,25500000
India,IND,2011,51700000,1860000000,10400000,20620000,25000000
India,IND,2012,51300000,2161055000,10200000,20170000,24000000
India,IND,2013,50900000,2019410000,10100000,19800000,23000000
India,IND,2014,50500000,2373071000,10000000,19600000,22200000
India,IND,2015,52124304,2394703000,10333836,20701794,24982000
India,IND,2016,53099196,2429198000,10490465,21525636,27787000
India,IND,2017,53589412,2504019000,10903060,22062856,29938000
India,IND,2018,54183332,2596711000,10734890,22541494,31886000
India,IND,2019,54887076,2697927000,10116901,23017980,33841000
India,IND,2020,55540576,2797362000,9436772,23478396,33787000
India,IND,2021,54828232,2884454000,9305428,23204662,33800000
India,IND,2022,55046728,2983054000,9088458,23364016,33704000
