Market Year,Total Slaughter,Unit of Measure,Growth Rate
1990,14409,(1000 HEAD),4.11%
1991,9753,(1000 HEAD),-32.31%
1992,9185,(1000 HEAD),-5.82%
1993,8819,(1000 HEAD),-3.98%
1994,9851,(1000 HEAD),11.70%
1995,10710,(1000 HEAD),8.72%
1996,8800,(1000 HEAD),-17.83%
1997,10999,(1000 HEAD),24.99%
1998,13500,(1000 HEAD),22.74%
1999,14500,(1000 HEAD),7.41%
2000,15250,(1000 HEAD),5.17%
2001,16500,(1000 HEAD),8.20%
2002,17750,(1000 HEAD),7.58%
2003,20000,(1000 HEAD),12.68%
2004,21500,(1000 HEAD),7.50%
2005,21700,(1000 HEAD),0.93%
2006,23500,(1000 HEAD),8.29%
2007,23750,(1000 HEAD),1.06%
2008,25500,(1000 HEAD),7.37%
2009,27500,(1000 HEAD),7.84%
2010,29000,(1000 HEAD),5.45%
2011,30000,(1000 HEAD),3.45%
2012,31800,(1000 HEAD),6.00%
2013,34500,(1000 HEAD),8.49%
2014,36150,(1000 HEAD),4.78%
2015,36850,(1000 HEAD),1.94%
2016,37600,(1000 HEAD),2.04%
2017,38200,(1000 HEAD),1.60%
2018,38300,(1000 HEAD),0.26%
2019,38600,(1000 HEAD),0.78%
2020,35800,(1000 HEAD),-7.25%
2021,38750,(1000 HEAD),8.24%
2022,39450,(1000 HEAD),1.81%
2023,39985,(1000 HEAD),1.36%
